Type	Size	Time
P	2972	191554
C	6092	1225
P	8702	1445
C	2947	274625
C	9838	1140
P	3189	1089
P	5386	1312
P	402	42322
P	2404	1143
P	7471	852
C	7808	1057
P	5387	1130
C	9453	772
P	4591	1267
P	2015	1037
C	5241	728
P	5296	960
P	600	642
P	2300	704
P	6442	1605
P	2220	1133
C	159	1464
C	7173	1245
P	1328	897
C	875	1158
P	1067	1280
P	3836	1014
P	9661	1035
C	2145	721
P	4371	1118
C	8465	1244
C	4604	807
P	8398	3187052
C	6134	3356079
P	6814	1156
C	1777	3189437
P	2200	1143
C	3583	765
C	1331	873
C	9986	1334
P	7934	1220
C	1574	1261
C	6344	809
C	1809	1229
P	4792	1428
P	2694	966
P	8483	659
C	8844	2980858
C	3589	1831
C	2454	1261
C	3503	803
P	1349	846
P	7549	1071
C	9444	4645656
P	7809	4649792
P	6635	4632809
P	5854	919
C	7061	7974656
C	5873	8029032
C	4178	7958387
C	5770	1349
P	8389	8538760
P	9170	11636229
C	9072	1049
C	2952	3774621
P	4526	1164
P	3066	1147
C	6955	3761337
C	6699	3936819
P	9616	4891655
P	8966	1160
C	5519	91225
C	6027	8261131
P	6658	3771978
P	2663	1030
P	3677	3038
C	9437	50338
C	2292	1037
P	6132	805
C	8292	8256393
P	3245	962
C	4578	374478
P	2880	1325
P	6501	93109
P	3777	1203
P	998	947
P	9848	977
P	5712	3878552
C	7494	1153
C	9999	3963369
C	8121	283008
C	6625	320758
P	8768	1192
C	5296	237102
C	7104	304623

