Type	Size	Time
P	5903	20420
P	1374	2400
P	9082	1283
C	738	1374
C	874	1256
C	6166	1034
C	1903	42047
C	3715	2625
P	5903	4273198
P	6783	5045508
P	2351	2051
P	2592	2196
C	2223	1993
C	8	1695
C	5758	1493
C	6809	430380
C	5262	1361255
P	2148	937
P	6469	1338
C	416	2168
C	7132	1338
C	14	1060
C	2140	938
C	4849	948
P	1582	1668
P	8180	857
C	2552	1444
P	2693	710
C	742	1113
P	4430	754
C	9008	1087
P	9189	777
C	8781	1035
C	1251	1076
P	5915	1317068
C	6011	1432
P	8708	932
C	7253	941
P	2487	1123
C	6253	964
P	6879	891
C	9135	958
P	5016	3810
P	2993	736
P	1318	1195
C	5533	917
P	1986	994
C	2185	1005
P	983	1682
P	2144	1032
P	3573	1235
P	2936	1107
P	4092	2574
C	9760	1568
P	1718	1193
P	6820	7091788
C	6250	4681193
P	4628	2562
P	5622	26044738
P	6958	20003792
C	3196	1917
C	8899	1023
C	1064	917
C	5856	937
P	6296	1299
P	2859	1000
P	6606	962
C	3503	1120
P	2244	867
C	1685	808
C	7908	762
C	3887	17957984
P	322	1239
P	3465	838
P	5100	1026
P	5979	663
P	1260	1176
C	712	1364
C	365	934
C	5215	637
C	6154	587
P	9387	2582
C	2540	1068
P	2848	1003
C	4470	966
P	33	1158
P	8004	1164
C	933	915
C	8810	1031
C	4644	603
P	7136	1565
P	2727	1167
C	6678	3201
C	6835	1262
P	7005	2713
P	4689	1107
P	1693	713
P	3724	660
C	8821	2540
C	7638	1144
C	1683	796
P	7460	35832007
P	275	2246
P	2128	664
P	1748	579
P	2262	572
C	8763	35974703
C	5148	58480657
P	1196	835
P	2214	837
P	3638	836
P	7430	897
P	798	32087967
C	1117	1367
P	2501	39808137
C	1709	846
C	2424	39725578
C	8505	865
P	2587	987
P	6824	1225
P	8015	862
C	6286	59476636
C	3099	5467
C	2760	1418
C	9581	43127450
P	7866	1672
C	8298	1182
P	7461	1127
C	368	1042
C	751	884
C	1183	618
C	4509	592
P	4359	43534259
C	2558	2661
P	1939	1613
C	3916	930
P	4656	1112
C	8691	834
P	2837	726
C	2434	944
P	7434	724
C	9357	799
P	8780	2526
P	5738	47667676
P	8848	855
P	304	913
C	6376	3409
C	3684	68721640
C	6043	50766006
P	2540	2738
P	2164	4096
P	4972	1189
P	3454	798
C	7972	1677
C	4279	69914312
P	1147	1026
C	8663	13319
C	976	1204
C	931	869
C	1686	853
P	8858	88060415
P	6447	1496
P	2075	745
P	610	667
C	39	1041
P	3526	632
C	6914	721
P	4122	73234183
P	4248	742
C	6052	813
C	1429	1023
C	1623	655
P	8230	885
C	8533	815
P	8346	788
C	2218	672
P	3821	834
C	2941	763
C	1376	855
C	4777	716
P	5408	73451128
C	3545	2344
P	7933	1087
C	6592	75892110
P	5254	966
C	8173	813
P	898	704
C	9651	732
C	2337	602
P	4744	14618
P	672	778
P	3746	661
P	2711	26853
P	1702	563
C	2836	1299
C	5746	580
C	4668	3257
C	5806	741
P	2385	1152
P	3454	860
P	5744	455
P	2528	333
P	7210	318
P	8166	95540449
C	9171	1028
C	785	707
C	9395	551
P	1856	1684
P	8846	87838495
P	8270	841
C	8686	1139
C	1644	861
C	5143	617
C	2662	82729826
C	230	738
P	7175	80225739
P	4218	533
P	5458	83648897
C	137	904
C	9656	561
C	6281	415
C	1523	389
P	9263	77173040
C	9867	790
C	1935	474
C	786	389
P	3545	854
P	9898	642
C	1461	1899
P	4955	73596380
P	4809	578
C	1406	750
P	547	996
C	1744	73957048
P	6545	1245
C	6729	675
C	3599	1018
C	3632	618
C	6794	608
P	5552	612
C	7305	716
P	4188	378
P	1883	707
C	5154	553
P	7504	511
C	990	545
C	7473	1178
P	480	3351
P	7781	740
P	7656	556
C	2250	2608
P	3608	70141574
P	4778	2305
C	5005	956
C	3817	77294251
C	1023	627
C	9834	696
P	6596	1339
C	6616	1096
C	1053	1115
P	2916	1069
P	2071	875
C	5147	707
C	1646	645
P	6291	658
P	7000	73821297
P	3762	72424706
P	4712	706
P	8241	456
C	9523	131706815
C	5891	72454411
C	668	1175
C	1555	915
P	1862	920
C	9887	1142
C	1088	1120
C	5338	914
P	8834	1340
C	5953	785
P	5288	649
P	6817	627
C	299	3249
P	8863	75265589
C	2043	853
P	6184	1580
C	4669	68961143
C	9969	75927730
C	9962	118970465
C	8524	1532
P	3465	1004
P	3606	938
P	6949	788
C	5962	813
P	6672	825
P	2855	666
C	3086	565
C	6054	637
C	4963	403
P	876	569
P	8638	551
P	4024	375
C	7904	1060
C	2648	12553
C	4082	5503
C	518	496
P	7579	68925586
P	1903	22055
P	2011	290
P	2122	459
P	1685	227
P	4245	211
P	6040	70500674
C	2671	234
C	5047	124
C	2631	110
C	8017	129
C	582	55868958
P	7733	521
P	1387	251
P	6925	121
C	2499	372
P	4750	9966
C	7227	281
P	6832	324
C	3685	319
C	968	207
C	6657	149
P	1567	1235
P	7179	271
P	3176	137
C	555	631
C	7072	216
C	6060	100
P	5374	1371
P	7746	424
P	4753	295
C	2316	714
C	6486	245
C	6775	132
C	2392	101
P	4599	456
P	8036	143
P	2064	96
P	1979	100
P	175	103
C	4215	64705169
C	3930	1046
C	2953	513
C	1678	362
P	4587	429
C	6700	76920787
C	7986	239
C	1681	246
P	7006	293
C	5590	273
P	136	205
P	7482	217
P	3785	130
P	6377	1586
C	4989	79700180
P	1055	77087236
C	4891	393
P	2784	324
P	6739	495
P	731	79949089
C	582	74337629
C	5354	666
C	9815	74313081
P	1309	74872343
C	2810	465
P	9349	459
C	340	297
P	2976	201
C	1044	1393
P	6890	446
C	9716	1074
C	1237	313
C	6338	188
P	1938	1285
P	3104	275
P	2894	127
P	2429	274
P	5059	102
C	9448	586
P	6809	74948185
C	5713	426
C	3933	155
P	8101	281
P	8021	260
C	3695	74751274
P	4868	150
P	2858	175
C	500	463
C	9324	492
P	1221	190
C	6235	283
P	7658	303
P	28	168
P	9461	525
C	7999	74967880
C	7865	668
C	2092	332
C	2632	159
C	582	495
C	1282	447
C	3278	76374172
P	7250	290
P	2778	150
C	6150	501
P	4347	519
P	4651	283
P	3163	266
C	4080	10427
C	2578	180
C	4889	94
P	5649	603
P	3963	74089441
C	6	288
C	2434	221
C	4482	85
P	4636	345
P	2321	219
P	8263	114
C	6161	70464527
C	1724	196
C	5775	101
C	8441	72
C	300	110
P	1846	8926
P	3062	176
P	1345	53
P	6804	58663081
C	6578	123
P	2500	144300998
C	841	58565098
C	215	120
P	4362	167
P	2281	225
P	1481	55360422
C	8672	55278947
P	8323	55286677
P	2485	124
C	8133	199
C	7639	188
C	8532	66
P	3357	55435723
P	6862	55343848
P	3203	172
P	2406	244
C	7184	151
P	3030	123
C	5350	147
C	654	124
P	5202	140
P	3429	55213724
P	4639	164
P	6512	110
P	4814	167
P	1736	4165
C	9604	55263841
P	1028	182
P	3425	94
P	9784	112
P	3961	43
C	9237	55377619
C	524	184
C	3090	78
C	6769	46
C	1972	41
C	3080	151
P	7956	1165
P	9379	59491709
C	8742	135658124
C	2092	230
C	8373	111
C	8589	71
P	2577	186
P	3583	150
P	4024	48
C	3441	174
C	8555	190
C	2734	75
C	909	64
C	1000	189
P	6830	50718113
P	5662	197
P	1016	57
P	3193	62
P	8569	125
C	151	88
C	7729	72
C	6442	42
C	2968	56770234
C	2108	128802642
C	4264	889
P	5914	52836948
P	9905	53030354
P	1641	179
P	1362	200
C	3949	446
C	1795	76
C	7185	52
P	6680	578
P	8910	64
C	9384	329
C	6820	58255242
C	4873	237
P	8452	149
P	3562	70
C	5254	597
C	5358	140
C	605	64
C	4432	63
P	8825	58296936
P	5746	310
P	2384	78
P	3011	69
P	4560	266
P	4216	104
P	231	78
P	2012	52
C	5772	927
C	3280	103
C	8407	41
C	5453	59956553
P	6527	60153711
P	7273	524
C	6571	251
P	4253	57672967
C	429	164
P	2379	412
P	3075	157
P	6043	157
P	5626	88
C	3176	339
C	7558	81
C	5979	58
P	7037	1777
C	9147	57685432
C	1490	592
P	8507	1692
P	369	87
P	5032	79
P	3038	59
C	6040	62329593
C	430	242
C	7074	72
C	9805	295
P	5293	510
C	6794	185
C	4886	99
P	6968	66901320
P	8399	150
P	1326	200
P	7340	70115957
C	6366	326
P	6100	144
C	6998	158
C	8070	102
C	3992	184
P	1838	286
P	9651	71
P	1876	131
P	1938	170
C	6134	123
C	5787	80
C	9886	84
P	9512	70259780
P	8245	161
P	7090	51
C	4427	998
C	2617	195
C	2680	48
C	3620	44
C	2550	141068872
C	9911	282
P	8546	72571302
P	7000	167
P	6679	60
C	4173	72421796
C	5897	124
C	2413	69275083
P	9903	179
P	5494	517
C	8412	69349556
P	7413	54
C	7247	397
P	7324	130
P	7710	71
P	1043	85
C	8926	215
C	8399	184
C	9796	121
C	9290	139
C	504	42
P	8460	69314845
C	4017	69104456
P	4007	67780007
P	2529	80
P	2620	51
P	7822	67769068
C	433	46
C	9561	67752986
C	8988	65126388
