Type	Size	Time
C	9894	3809
C	5716	552
P	119	5333
P	1436	800
P	8245	443
P	4576	331
C	2647	718
C	147	713
P	140	1021
P	1140	1895
P	8288	15616330
C	6319	577
C	2631	457
C	357	807
C	2129	520
C	5978	490
P	7136	639
C	1283	517
P	3522	583
C	1526	623
P	3452	520
P	5619	469
C	3191	789
C	9816	573
P	6299	625
C	9698	632
P	6144	458
C	948	522
P	8714	394
C	5532	574
P	6503	382
C	93	687
P	717	420
C	4430	850
C	3577	439
C	3954	296
C	2232	270
P	2951	8344
P	1640	580
P	2257	369
P	143	1672
C	4643	1070
P	3830	608
P	1293	376
P	2734	268
P	2365	421
P	279	372
C	6508	453
C	4099	925
P	6347	875
C	5880	668
P	3952	425
C	1095	1364
C	8305	501
P	4881	319
P	8494	346
C	3470	674
C	8801	387
C	2658	438
P	548	905
P	2881	567
P	7572	404
P	6389	238
P	1523	408
C	5223	24488126
C	4672	571
C	1879	195
C	1396	271
C	1575	446
P	9629	459
P	3043	283
C	5712	1097
C	7170	645
C	8132	16447319
P	1025	18377087
P	5852	1178
P	7997	17603098
P	3192	914
P	9181	493
C	8052	1078
C	187	1106
C	704	638
C	4778	534
P	1198	797
P	3894	654
P	1070	387
P	4251	375
C	6846	353
C	6575	442
P	3406	336
P	695	754
P	7313	454
C	8009	17587782
C	471	745
C	9040	974
P	2046	539
P	9825	381
P	3386	241
P	1785	216
C	3774	18165109
C	8905	416
C	668	280
C	9089	219
P	9350	590
P	1499	18396278
P	8071	464
C	8232	487
C	5701	233
C	3196	18451599
P	9794	493
C	3468	497
P	3878	354
C	8726	373
P	1132	653
P	6607	1085
P	8213	14979330
C	6078	14894195
C	9577	293
C	245	240
P	5302	29195795
C	8164	720
C	1937	457
P	6326	465
P	9181	29188236
C	6333	466
P	4998	14502072
P	4972	14534375
P	4809	381
P	1552	314
C	5137	235
C	7232	572
C	5322	196
C	1895	129
C	1355	414
C	606	183
P	9188	274
P	9588	183
C	8909	14670368
C	5676	194
C	6241	111
P	108	14670084
P	9400	233
P	8977	14678358
P	2973	178
P	3980	118
C	2190	598
C	5958	299
C	758	1296
P	6167	661
C	8602	151
C	6968	325
P	3448	390
P	7573	209
P	4413	217
P	403	134
C	9905	482
P	1717	1143
P	409	350
P	7073	152
P	3723	142
C	8865	14628663
C	8437	1207
C	1756	263
C	305	102
C	1303	681
C	5047	375
C	1833	140
C	1266	113
C	426	108
P	1777	530
P	5817	209
P	3256	96
P	6772	20332533
C	6422	945
P	2008	782
P	6273	225
C	2739	692
C	5755	184
C	5314	99
C	109	92
P	8040	364
P	2216	148
C	2469	20655422
P	7287	116
C	5979	569
C	9539	203
C	5477	245
P	3786	1205
P	4347	240
P	2760	234
P	5651	265
C	8176	317
C	6331	160
P	6042	25219800
P	3594	3032
P	6583	190
C	6697	27314290
C	1235	188
C	6146	37013620
P	25	465
