Type	Size	Time
P	348	2404956
C	362	927
P	45	1208
P	116	2510371
C	533	1170
C	605	385021
P	532	1292
C	95	2801025
C	509	1318
P	383	750
C	3	697
P	206	1377
P	782	2732877
P	512	931
C	630	197827
P	13	1409
C	109	58741
P	547	1131
P	152	982
C	293	100628
P	401	966
C	268	1010
C	916	3000966
P	856	1160
C	350	715
C	305	847
P	33	730
P	179	1019
P	396	914
C	421	85806
P	393	843
C	613	115297
P	344	795
C	637	122793
C	857	1126
P	246	1185
P	820	818
C	689	167606
P	223	1530
P	786	1159
C	806	39748
P	77	1266
C	491	257266
C	145	1124
C	452	130345
P	494	855
C	318	911
P	974	868
P	15	795
C	109	1697
P	286	1238
C	482	745
C	851	461734
C	97	1879
C	331	100337
P	59	679
P	712	723
P	183	972
C	570	568865
P	513	679
P	206	726
C	382	664
P	329	710
P	675	912
C	657	97278
C	808	224704
P	467	1499
P	432	1828
P	461	2393
C	784	966654
C	130	1092
C	364	325618
P	801	2730
P	1	1261
P	658	2135
C	750	2126709
C	127	273183
P	575	59321
C	688	84743
C	787	2200315
C	101	2054
P	663	882
P	695	1910
C	101	3289
P	111	1027
P	675	948
P	379	1241
C	642	1331356
C	294	1625
C	275	2985
P	359	1717
C	3	2050
C	548	190374
P	955	1026
C	102	926
P	333	1231
P	127	1298

