Type	Size	Time
P	78529	78527
P	35124	1066
P	82808	21403
C	25885	804
C	11420	943
C	51630	673
C	21078	799
C	38036	1118
P	6299	2339
P	18103	1162
C	9215	1581
P	86857	1102
P	40425	1295
C	90008	1350
C	79344	4072763
P	71809	4179964
P	39743	7428331
P	13719	783
C	235	1414
C	30693	1378
C	47423	1121
C	83577	999
P	10223	286945
P	17384	1229
P	45998	1237
P	46250	1061
P	72817	923
C	39871	1091
C	31549	1008
C	87790	1808
P	86376	5888444
P	70936	6039861
P	9770	1353
C	87961	2272
C	83876	1199
P	67081	948
C	58301	881
P	25355	836
P	46413	697
P	33105	607
P	60369	865
C	65701	1655
P	75466	766
C	26863	5528746
C	55848	8800935
P	77706	857
C	82360	8404119
P	53056	3171891
C	92640	736838
P	66182	8749379
P	52637	824
P	53440	9000688
P	53716	3129120
C	51864	697
C	46853	1211
P	49956	59298
P	40853	1011
C	54722	814
C	30693	1248
C	86462	1043
C	9763	1106
P	90151	195266
P	69775	895
C	93276	1207
P	90048	24879
P	44916	3260558
C	76980	3294543
C	46911	44106
P	91236	939
C	78935	210855
C	50764	9255683
P	43218	831
C	24649	934
P	29262	1059
P	35146	8752360
C	41361	755
C	831	2817
C	19462	1104
C	70770	1031
P	99294	97003
C	43730	733
P	50617	36517
P	42560	1216
P	27554	59964
C	97526	797
P	86344	748
C	3467	919
C	72411	1109
P	82489	329889
C	87713	963
P	7748	1321
P	62205	39918
P	53093	44907
C	23675	1099
C	31665	1069
C	59805	956
C	89756	1122
C	48047	1234
C	24928	976
P	98436	74689

