Type	Size	Time
P	830	18531
C	474	1475
P	635	1183
C	446	901
C	635	755
P	874	36885
C	435	905
P	908	385414
P	310	922
C	613	936
C	52	877
C	446	892
C	854	1001
P	713	644
P	378	821
C	813	787
P	391	982
P	192	1016
P	842	858
P	143	746
P	744	674
C	544	768739
C	99	1005
C	959	1084
C	147	978
C	348	860
P	967	956
P	673	433134
P	798	1080
C	689	786
C	13	552354
C	129	977
C	382	947
C	273	1090
P	572	662
C	257	785239
P	354	913880
C	926	1104
C	637	891559
P	419	1273
P	251	702
C	884	1079
C	741	945
P	878	995760
P	97	1245
P	392	1112
C	692	1128
P	442	1065901
P	322	870
P	441	886492
P	702	677
C	314	1151
C	758	1007
P	121	868
P	297	789
P	426	1200
C	417	871
C	119	1101
C	766	1232
C	413	1123
P	756	915141
P	732	1186
C	353	743
C	548	984
C	742	1224
C	45	1120
P	43	1204
P	792	945
C	436	1243079
C	425	1050
C	434	980
C	95	1164
P	447	1123
C	175	779
P	22	1299
P	542	1216
P	580	1067
P	559	946
P	117	1254
C	347	1047
P	285	1129
C	226	940
C	605	1095
P	116	1113
C	107	1104
P	355	1273
C	112	1166
C	215	1290
P	160	1293
P	490	5863
P	889	1541431
C	655	1035
P	500	1713
P	474	718
C	958	6316696
C	248	15274
P	610	1769
C	753	1323
C	811	1929
P	721	1205
P	285	1328
P	715	769
C	197	10783759
C	422	11090141
C	907	1492
C	184	777
C	12	1055
P	209	1310
P	466	916
P	420	830
P	483	816
P	186	1041
C	189	1061
C	723	1008
P	949	13891640
P	654	2123
P	277	2017
C	719	2904
C	956	861
C	751	13829208
P	662	2597
P	917	15066587
C	884	15054063
P	896	1034
P	163	1008
P	164	934
P	763	17202739
C	611	16131985
C	605	4039
C	213	2223
C	906	24039531
P	113	23421656
P	26	988
P	574	770
C	143	23469863
P	390	808
P	194	630
P	63	672
P	67	589
C	284	717
C	211	702
P	382	829
P	239	596
C	490	874
P	90	543
C	254	653
C	973	647
C	170	23504288
C	167	719
P	610	961
P	649	24196798
C	802	724
P	88	1108
P	321	952
P	855	616
C	386	923
P	658	1146
C	374	791
C	37	695
C	874	658
C	385	655
C	383	635
P	985	1740
P	536	935
C	170	730
C	579	510
C	927	483
C	102	432
P	289	28070026
