Type	Size	Time
P	73462	1122
P	11436	1379
P	75561	1023
C	39294	1079
P	33430	910
C	55711	1265
P	10864	1315
P	20649	971
P	37827	1312
P	1756	702
C	90297	1105
P	68435	751
C	79192	821
P	52172	745
C	24597	757
P	8966	714
C	44610	2188
C	12826	982
C	50976	963
C	81282	648
P	97514	1550
P	96582	1164
P	6371	6077814
P	2221	1035
P	71864	1063
P	40278	658
P	38835	1317
C	63600	6219967
C	4965	949
C	36991	1082
P	36689	645
C	33174	791
C	37517	806
C	58141	752
P	78282	710
C	79372	747
C	53938	6273487
P	37954	5368
P	53024	1544
C	95576	2151
C	92649	2334
P	52561	12913726
P	8064	2166
P	90040	13311448
P	22426	1639
P	96305	926
C	63625	7963395
P	21469	7836207
C	80778	7717408
C	63038	14301923
P	54643	727
P	91733	775
C	39027	914
P	40270	772
C	71929	888
P	67124	735
C	72358	1324
P	73783	859
C	83823	1183
P	76255	1220
C	16845	1047
P	44229	772
P	55473	971
C	6114	29536
C	6667	1154
C	16991	814
C	1496	805
C	61877	718
C	37199	1393
P	65798	1250
C	49620	903
P	2610	1100
C	22330	1054
P	42097	1109
P	28243	1942
C	6693	804
P	44769	960
P	16001	785
C	10206	1394
C	55409	1861026
C	42317	4090
P	72572	17400771
C	59372	1409
C	3667	1107
C	28585	1175
C	74199	1142
P	32182	4248490
P	49525	1024
P	49699	4092665
P	39454	4078250
C	9524	617
P	79510	1240
P	306	1167
C	66223	4086152
C	71098	8028764
C	33228	786
C	21880	1094
C	66960	8023531
P	88170	1273
P	72627	1119
C	81391	11908353
P	28415	718
C	66737	4066826
C	55163	727
P	86397	763
C	45486	1465
P	65112	1131
P	38762	924
P	62116	3840222
C	58926	1165
C	43597	1021
P	34751	3780318
C	89803	3914222
C	22003	1479
C	1366	616
P	56730	7126280
P	18844	852
P	70820	794
P	61658	635
C	13271	825
C	7215	608
C	8598	588
C	25755	637
C	1731	536
P	84560	1869
C	46114	1527
C	52444	5332166
C	12704	1088
P	30339	1382
C	51387	1094
P	55622	6195107
P	17336	1267
P	3026	650
C	73744	952
P	76568	10574385
C	84690	6175641
C	10724	939
P	58108	1265
P	38501	1418
P	55024	1301
C	50077	771
C	42570	962
P	6561	841
C	1723	1163
C	32798	1056
C	7498	1188
C	91346	619
P	70074	691
C	75704	610
P	36567	672
P	40699	8839883
P	43888	1241
P	14893	854
P	62871	723
P	44546	10169357
P	47115	1234
C	57700	1851
P	9615	1087
C	67203	12664
P	48917	10195718
C	75492	3128
P	44504	671
P	17243	752
C	65948	1019
P	16229	1884
C	99023	926
P	19994	1065
C	37990	611
P	46943	597
P	7418	490
P	18635	556
P	43581	698
C	58672	706
P	60462	457
C	13590	577
P	21841	647
C	20249	606
P	69480	606
C	70446	564
C	3521	10207206
C	80730	380
P	91065	1958
P	36267	693
C	32786	1048
C	91766	545
P	79708	1170
P	43189	923
P	45755	789
C	50007	879
C	69410	704
C	9908	661
C	245	601
C	71522	13334938
P	62499	32754113
C	22901	20758071
C	71825	1103
P	88977	20778303
C	89621	893
C	24203	977
C	16346	866
C	24669	731
P	49571	811
C	33866	1439
C	41787	805
C	78306	541
P	88942	796
C	19495	485
P	73264	1025
P	10679	740
P	43032	670
P	39472	894
P	12733	674
P	84945	24823845
C	79656	39392991
C	9437	881
C	40694	818
P	43670	434
C	28221	1105
C	2789	929
P	38713	381
C	17579	752
P	4629	413
C	42254	726
P	11653	416
P	78769	324
P	1017	1011
P	49887	21733674
C	96385	26679014
C	31451	21135974
P	22911	796
P	85779	931
C	72390	601
C	4888	1026
C	31726	21814146
C	9961	25795702
P	31713	584
C	10891	729
C	27454	709
C	41862	880
C	22669	21915055
C	19168	601
P	67322	779
P	72685	945
P	82553	693
C	53768	21836427
C	10400	673
P	49051	529
C	97866	766
C	10448	694
C	66822	716
P	49887	21791565
P	14260	489
C	52523	21730665
P	66699	931
P	4891	519
P	2695	677
C	11148	599
P	87149	779
C	88559	838
P	93982	669
P	5770	528
P	18703	373
C	5217	21774870
C	91246	1147
P	39013	776
P	96467	438
P	20653	421
C	54995	601
C	62224	848
C	78622	801
P	54698	625
C	99895	523
C	6334	537
P	26110	762
P	46347	709
P	73328	504
C	61364	467
C	42962	452
