Type	Size	Time
P	387	382
C	799	169
C	799	38977530
P	897	1203
P	748	213
P	865	216
P	442	254
C	874	232
C	678	166
P	258	169
C	773	21933260
C	552	138
P	284	219
P	885	142
C	487	210
C	563	194
C	181	146
P	887	275
P	940	273
C	823	202
P	340	227
C	255	180
C	860	198
C	291	157
C	32	218
C	303	22070037
P	947	411
C	467	267
C	256	265
P	653	195
C	479	113
C	259	108
C	972	95
P	974	22460296
P	798	24125661
P	943	24073526
C	976	343
C	252	257
C	648	125
P	690	436
P	621	220
P	182	119
P	334	125
C	757	251
C	212	117
C	388	80
C	522	24304995
P	577	24188636
P	848	190
P	352	99
C	526	24142889
C	26	399
P	491	268
C	690	467
P	552	24050456
C	688	481
C	578	194
P	742	24087099
P	405	167
P	528	156
P	457	327
C	952	268
C	744	242
P	143	164
C	350	206
C	161	152
C	421	200
P	901	152
C	559	269
C	112	170
C	998	100
P	626	212
P	251	197
P	742	24070270
C	69	24113245
C	155	267
P	669	24118434
P	541	255
C	565	35230508
P	523	230
P	175	186
P	519	190
C	863	353
P	681	24025691
C	180	311
P	638	127
C	511	122
P	749	23950803
P	997	23932713
C	293	227
C	361	184
C	401	23806881
P	793	23584846
C	438	259
C	57	176
C	659	24086743
C	672	167
C	395	181
C	813	339
C	229	23853485
P	661	20603909
P	337	23331925
C	274	20549361
C	467	118
C	683	20560545
P	806	20523771
C	184	246
C	300	20507629
C	141	216
P	796	157
C	841	159
P	627	20581124
P	601	187
C	635	20596245
P	926	20498883
C	363	194
P	650	20472172
P	319	35079682
C	341	275
P	172	349
C	177	224
C	782	228
P	796	16248735
C	651	183
P	636	16238071
C	342	16239008
C	404	16234024
P	614	13636377
C	557	240
C	239	309
P	817	264
P	745	750
C	539	353
C	609	389
P	654	221
P	584	34909270
C	698	13637188
C	525	13479878
C	307	316
C	884	9257627
C	450	408
C	544	158
P	786	8449283
P	504	9346333
P	621	8458335
P	670	318
C	247	8361749
C	158	573
C	768	139
P	970	8382727
P	283	226
C	527	8352029
C	408	176
P	835	7012231
C	894	6934668
C	476	190
C	81	141
P	330	6956528
C	524	34271805
P	949	32610380
P	471	346
P	319	196
C	655	6687648
P	409	215
P	155	6691090
C	704	6619393
C	184	194
C	60	186
C	376	323
C	539	6597433
P	261	237
P	476	6376442
C	833	570
C	55	301
C	804	199
C	321	6384638
P	819	6489051
C	511	225
P	135	305
P	793	31880741
C	335	6427122
P	716	6368094
P	258	6371838
P	685	280
C	701	29531699
P	679	6253148
P	52	256
P	958	46273365
C	251	412
C	487	426
P	601	6256866
P	254	359
P	576	236
P	460	445
C	885	6188297
C	22	6115544
P	802	6147590
C	836	270
P	101	207
P	41	103
C	685	6056272
C	273	299
C	886	6370914
P	758	6035359
C	270	5982455
C	77	5979945
C	174	229
P	752	6148883
P	368	333
C	107	349
C	655	6153727
P	787	5787911
C	211	442
P	427	5642727
P	553	5933110
C	958	311
P	287	274
C	435	5073316
C	508	221
C	880	5748602
C	967	4971524
P	262	205
C	150	297
P	625	223
P	521	5058505
P	914	4917038
P	450	312
C	431	4938814
C	398	4804802
C	892	4716944
C	224	10179
C	809	4647824
C	56	190
P	854	4718743
P	787	511
P	457	229
C	799	4527548
C	702	4509853
P	348	4664067
C	161	4490100
P	21	4435657
P	984	375
P	19	335
C	249	321
C	928	2849282
C	473	222
C	6	166
P	145	2792066
P	692	287
C	570	2450459
C	595	2448648
P	941	4360559
P	396	2255003
P	246	497
P	223	1996968
P	323	26833064
C	781	335
P	789	2796761
P	463	315
C	21	213
C	577	179
C	436	81
P	255	2049423
P	394	2034584
C	397	2040886
P	909	25607077
C	674	25511824
C	561	25486317
C	414	2056530
P	650	22627787
P	654	300
C	283	2041702
C	729	22511341
P	811	188
C	627	2021585
C	216	317
C	339	262
P	689	2022348
C	514	37078494
C	527	252
P	910	2023049
P	768	3326244
P	389	477
C	954	3221904
P	327	3206054
P	755	16786390
C	750	3207072
P	774	3142274
C	861	11492132
P	657	10101987
C	256	744
C	989	3075761
P	832	143
P	83	3088139
P	569	10124617
C	736	10043636
C	909	10016005
C	302	9912903
P	987	9796206
P	825	9814602
P	648	119
C	717	222
C	512	9721455
C	606	9650748
C	473	3111766
P	890	3050130
C	863	9303457
P	922	32494412
